id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
46719435,Superb studio right in Born fully equipped,265193861,Joaquim,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",41.38618,2.17986,Entire home/apt,95,2,10,2021-09-22,5.56,119,343,10,HUTB003506
46719525,Plaza España Penthouse with Terrace and View,370718107,Alexandre,Sants-Montjuïc,el Poble Sec,41.37059,2.14967,Entire home/apt,166,1,8,2021-09-28,1.70,9,294,8,HUTB-008036
46719850,Rius Plaza España,370992036,Kamel,Sants-Montjuïc,el Poble Sec,41.3728,2.1558,Entire home/apt,72,32,0,,,13,60,0,
46720563,Great studio ideally located with balcony in Born,374143650,Georgina,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",41.38567,2.1803,Entire home/apt,1000,1,0,,,1,295,0,HUTB003504
46720589,Miguel Ángel-Camp Nou 11,370992036,Kamel,Sants-Montjuïc,Sants,41.37629,2.13187,Entire home/apt,42,30,1,2021-07-05,0.30,13,0,1,
46722333,AB Drassanes Center - Ref. GI3060,4459553,Eva&Jack,Ciutat Vella,el Raval,41.37488,2.17548,Entire home/apt,84,3,5,2021-08-06,1.92,182,6,5,HUTB-009302
46723426,BEAUTIFUL 2 bedrooms APARTMENT IN BARCELONA CENTER,1216546,Jezabel,Eixample,el Fort Pienc,41.39619,2.18199,Entire home/apt,79,3,8,2021-10-01,4.21,1,135,8,Exempt
46730222,Vintage - Passeig de Gracia,2439400,KeyBarcelona,Eixample,la Dreta de l'Eixample,41.39028,2.16495,Entire home/apt,162,1,0,,,26,113,0,HUTB-009995
46730223,Vintage - Poble Sec,2439400,KeyBarcelona,Sants-Montjuïc,el Poble Sec,41.37392,2.15685,Entire home/apt,106,1,0,,,26,7,0,HUTB-010853
46731061,"PLAZA ESPAÑA, comfy, 3 bedrooms",134698146,Luis,Sants-Montjuïc,Hostafrancs,41.37568,2.14777,Entire home/apt,112,1,0,,,24,259,0,HUTB-002814
46740064,Beautiful 2 bedroom on Enric Granados,346367515,Stay Ukio,Eixample,l'Antiga Esquerra de l'Eixample,41.3868,2.16341,Entire home/apt,103,31,0,,,54,103,0,
46740231,Penthouse apartment with 2 br and terrace,130223809,Daiga,Sants-Montjuïc,el Poble Sec,41.37415,2.16007,Entire home/apt,35,32,0,,,41,84,0,
46742001,"Luxury Loft with Indoor and Rooftop Pool, Gym, Spa",330330852,Viola,Eixample,la Dreta de l'Eixample,41.39253,2.17727,Entire home/apt,625,30,0,,,4,364,0,
46746391,Moderno piso en Poblenou,31088754,Dorota,Sant Martí,el Poblenou,41.40335,2.20179,Entire home/apt,40,30,0,,,1,39,0,
46760295,Single room in Sagrada Familia,13013003,German,Gràcia,el Camp d'en Grassot i Gràcia Nova,41.4046,2.1692,Private room,15,31,0,,,3,283,0,Exempt
46763161,Apartamento a 3 minutos del Parc Guell,113020313,Javier,Horta-Guinardó,el Carmel,41.41828,2.15832,Entire home/apt,90,31,1,2021-03-31,0.15,15,0,1,
46765615,Cosy 2-bedroom apartment in Gracia neighbourhood,4146729,Sensation,Gràcia,el Camp d'en Grassot i Gràcia Nova,41.40681,2.16796,Entire home/apt,174,3,1,2021-10-01,1,20,317,1,HUTB-000631
46770917,Cosy double room in Raval the center of Barcelona,238373751,Raquel,Ciutat Vella,el Raval,41.37671,2.16914,Private room,15,1,6,2021-03-12,0.81,1,0,6,Exempt
46784770,Gaudi Muntanya 21,370992036,Kamel,Sant Martí,el Camp de l'Arpa del Clot,41.41202,2.18209,Entire home/apt,38,30,1,2021-01-20,0.11,13,0,1,
46786221,Amazing 3 bedroom+2bathroom minutes from Pl España,265193861,Joaquim,Sants-Montjuïc,Sants,41.37538,2.13602,Entire home/apt,150,2,3,2021-05-01,1.58,119,318,3,HUTB-000159
46786830,Central 2 bedroom apartment in Bailén,264969939,Sleep,Eixample,la Dreta de l'Eixample,41.39707,2.1706,Entire home/apt,75,30,1,2021-02-24,0.13,21,0,1,HUTB-010054
46788806,Central 2 bedroom apartment in Bailén,264969939,Sleep,Eixample,la Dreta de l'Eixample,41.3957,2.17248,Entire home/apt,58,30,2,2021-02-16,1.09,21,0,2,HUTB-009712
46789101,Central 2 bedroom apartment in Bailén,264969939,Sleep,Eixample,la Dreta de l'Eixample,41.3971,2.17027,Entire home/apt,73,30,1,2021-04-26,0.18,21,0,1,HUTB-009712
46789343,Central 2 bedroom apartment in Bailén,264969939,Sleep,Eixample,la Dreta de l'Eixample,41.39572,2.17168,Entire home/apt,78,30,1,2021-03-28,0.15,21,2,1,
46789433,Elegant and modern 2 bedroom ap near Poble Sec,130223809,Daiga,Sants-Montjuïc,el Poble Sec,41.37473,2.16017,Entire home/apt,38,32,2,2021-09-09,0.83,41,262,2,
46789534,Central 2 bedroom apartment in Bailén,264969939,Sleep,Eixample,la Dreta de l'Eixample,41.39564,2.17052,Entire home/apt,57,30,0,,,21,0,0,
46789752,Central 2 bedroom apartment in Bailén,264969939,Sleep,Eixample,la Dreta de l'Eixample,41.39735,2.1722,Entire home/apt,57,30,0,,,21,0,0,
46789970,Central 2 bedroom apartment in Bailén,264969939,Sleep,Eixample,la Dreta de l'Eixample,41.39558,2.1703,Entire home/apt,57,30,0,,,21,0,0,
46790156,Central 2 bedroom apartment in Bailén,264969939,Sleep,Eixample,la Dreta de l'Eixample,41.39729,2.17068,Entire home/apt,57,30,1,2021-01-31,0.12,21,0,1,
46790439,Central 2 bedroom apartment in Bailén,264969939,Sleep,Eixample,la Dreta de l'Eixample,41.3966,2.17063,Entire home/apt,78,30,0,,,21,0,0,
